AS132165,Connect Communications
AS132196,Danawa Resources Sdn. Bhd.
AS132637,PT Bina Informatika Solusindo
AS132641,PT Netciti Persada
AS132649,PT Adau Putra Network
AS132652,PT Cahaya Buana Raksa
AS132669,PT Globalnet Multi Data
AS132974,Suraj Network
AS133283,FUTURE NETSANCHAR LIMITED
AS133334,DCTV Cable Network Broadband Services Inc
AS133352,PT Berdikari Prima Mandiri
AS133354,PT Anugerah Karunia Perkasa Abadi
AS133606,Viettel Timor Leste
AS133613,MTel telecommunication company ltd.
AS133799,PT Gomeds Network
AS133817,PT Inti Data Telematika
AS133819,PT Citra Infomedia
AS133838,PT Infotek Global Network
AS133996,Vaishnavaibhavi Internet Solutions Private Limited
AS134026,Ultranet services private limited
AS134078,NETPLUZ HOLDINGS PRIVATE LIMITED
AS134090,Leaptel
AS134127,PT Zona Sejahtera Mandiri
AS134146,SAM ONLINE
AS134220,Lightwire LTD
AS134489,S. B Link Network
AS134506,DNET
AS134630,PT Palapa Global Nusantara
AS134640,PT DCI Indonesia
AS134651,PT Yetoya Solusi Indonesia
AS134655,PT Dumai Mandiri Net
AS134658,PT Julia Multimedia Nusantara
AS134697,Launtel
AS134732,Dot Internet
AS134810,China Mobile Group JiLin communications corporation
AS134868,SHARKTEL INFOCOM PRIVATE LIMITED
AS135425,Caznet
AS135439,PT Adnet Media Indonesia
AS135449,PT Broadband Indonesia Pratama
AS135459,PT Globalriau Data Solusi
AS135477,PT Java Digital Nusantara
AS135478,PT Cyberindo Aditama
AS135636,PT RackH Lintas Asia
AS135726,Vsj Internet Services Private Limited
AS135746,Cityline Networks Pvt Ltd
AS135772,POWERNET
AS135799,Rapidnet Private Limited
AS135806,Kalpavruksha Communication Services Pvt.ltd
AS135818,Green Tech Net Com Pvt Ltd
AS135905,Vietnam P&T
AS136054,PT Comtelindo
AS136055,PT Queen Network Nusantara
AS136065,PT Solusi Trimegah Persada
AS136075,PT Cinoxmedia Network Indonesia
AS136078,PT Foxline Mediadata Indonusa
AS136088,PT Araz Inti Line
AS136100,PT BKV Net Telemedia
AS136119,PT Bali Towerindo Sentra Tbk
AS136121,PT Digital Media Telematika
AS136131,PT Tiga Satu Cyber Network
AS136167,CHINA TELECOM (MACAU) COMPANY LIMITED
AS136176,Cyber Solutions BD
AS136217,MOON NET
AS136224,City Online Ltd.
AS136289,Bbrg Communiction And Internet Pvt Ltd
AS136334,Vortex Netsol Private Limited
AS136342,Winux Communications Pvt. Ltd.
AS136479,Cyber Telecom ISP
AS136514,Rashedur Rahman t/a Onesky Communications Limited.
AS136700,Sefaro Networks Private Limited
AS136820,PT Lisar International Networking
